artist,song,album,genres,total_plays,song_length_ms,total_elapsed_ms
half_alive,TrusT,"Now, Not Yet","",16,257120,2821869
half_alive,ok ok_,"Now, Not Yet","",16,228533,3142211
half_alive,arrow,"Now, Not Yet","",15,222706,3033071
half_alive,RUNAWAY,"Now, Not Yet","",14,162200,2115892
half_alive,Pure Gold,"Now, Not Yet","",14,214226,2846476
half_alive,still feel.,"Now, Not Yet","",14,247786,3051652
half_alive,ice cold.,"Now, Not Yet","",12,177626,1997006
half_alive,the notion,"Now, Not Yet","",12,36920,410339
half_alive,Maybe,"Now, Not Yet","",12,193306,1912850
half_alive,creature,"Now, Not Yet","",11,335066,3685187
half_alive,Rest,"Now, Not Yet","",10,209226,2091650
half_alive,BREAKFAST,"Now, Not Yet","",10,211360,1942854
Summer Walker,BP,Last Day Of Summer (Explicit),rnb,10,109413,1093740
Summer Walker,Talk Yo Shit (Explicit),Last Day Of Summer (Explicit),rnb,10,39266,392620
Summer Walker,CPR,Last Day Of Summer (Explicit),rnb,9,203240,1829088
Summer Walker,Girls Need Love (Explicit),Last Day Of Summer (Explicit),rnb,9,140760,1167772
Summer Walker,Karma,Last Day Of Summer (Explicit),rnb,9,188906,1625152
Leon Thomas,HOW FAST (Explicit),MUTT (Explicit),"",9,174964,776015
Summer Walker,I'm There,Last Day Of Summer (Explicit),rnb,9,114586,1031157
Summer Walker,Smartwater,Last Day Of Summer (Explicit),rnb,9,144320,1298700
Summer Walker,Deep (Explicit),Last Day Of Summer (Explicit),rnb,9,92093,828495
twenty one pilots,Lane Boy,Blurryface,"indie pop,alternative,electronic,indie",8,253093,1531863
Summer Walker,Shame,Last Day Of Summer (Explicit),rnb,8,166106,1214899
Summer Walker,Baby,Last Day Of Summer (Explicit),rnb,8,88186,687044
Summer Walker,Just Like Me,Last Day Of Summer (Explicit),rnb,8,250146,1754825
Summer Walker,Prayed Up,Last Day Of Summer (Explicit),rnb,8,168106,1344568
half_alive,Aawake At Night,3,"",7,199056,1393287
Adele,Hometown Glory (Explicit),19 (Explicit),"soul,female vocalists,pop,british",7,271226,1569203
DUCKWRTH,Money Dance (Explicit),SuperGood (Explicit),"neo-soul,contemporary rnb",7,148750,680540
half_alive,The Fall,3,"",7,186945,1308118
Summer Walker,Girls Need Love (Remix) (Explicit),Last Day Of Summer (Explicit),rnb,7,222374,1334959
Beyoncé,Mine (Explicit),BEYONCE (Explicit),rnb,7,378600,2200784
Ariana Grande,Moonlight,Dangerous Woman (Explicit),"pop,rnb",7,202360,452100
twenty one pilots,Tear in My Heart,Blurryface,"indie pop,alternative,electronic,indie",7,188493,1298273
twenty one pilots,We Don't Believe What's on TV,Blurryface,"indie pop,alternative,electronic,indie",7,177200,1091425
half_alive,Tip Toes,3,"",7,195047,1364678
twenty one pilots,Fairly Local,Blurryface,"indie pop,alternative,electronic,indie",7,207160,1449847
Arctic Monkeys,R U Mine_,AM,"indie rock,rock,indie,alternative,british",6,201726,1111677
twenty one pilots,Message Man,Blurryface,"indie pop,alternative,electronic,indie",6,240080,1250438
Beyoncé,Haunted (Explicit),BEYONCE (Explicit),rnb,6,369040,2059421
