artist,song,album,genres,total_plays,song_length_ms,total_elapsed_ms
Florence + The Machine,Only If For A Night,Ceremonials,"indie,female vocalists,british,alternative",3,298453,895266
Kanye West,Ultralight Beam (Explicit),The Life Of Pablo (Explicit),"gospel,rap,hip-hop",3,320680,701492
Kendrick Lamar,Poetic Justice (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",3,300160,776435
Florence + The Machine,Shake It Out,Ceremonials,"indie,female vocalists,indie pop,alternative",2,277600,555154
Kendrick Lamar,"Bitch, Don_t Kill My Vibe (Explicit)","good kid, m.A.A.d city (Deluxe) (Explicit)","",2,310720,621400
Adele,Daydreamer,19 (Explicit),"female vocalists,soul,pop,british,singer-songwriter",2,220506,270000
Kendrick Lamar,The Recipe (Bonus Track) (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","",2,352853,462601
Kendrick Lamar,Money Trees (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","rap,hip-hop,hip hop",2,386906,773798
Kanye West,Father Stretch My Hands Pt. 1 (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",2,135920,271776
Kendrick Lamar,Backseat Freestyle (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip hop,hip-hop,rap",2,212653,425220
Adele,Cold Shoulder,19 (Explicit),"soul,female vocalists,pop,british,alternative",2,191866,296192
Kendrick Lamar,m.A.A.d city (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","rap,hip-hop,gangsta rap",2,350120,700238
Kendrick Lamar,good kid (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop",2,214120,428198
Kanye West,Pt. 2 (Explicit),The Life Of Pablo (Explicit),rap,2,130293,260544
Kendrick Lamar,The Art of Peer Pressure (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip hop,hip-hop,rap",2,324533,648986
Adele,Tired,19 (Explicit),"pop,soul,female vocalists,british",2,258853,449445
Kanye West,Famous (Explicit),The Life Of Pablo (Explicit),"rap,hip-hop,hip hop",2,196040,392044
